# Matter power spectrum P(k) at redshift z=20
# for k=1.04734e-05 to 104.842 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826327e-05       1.720710202738e-01 
       1.318525239998e-05       2.148807027908e-01 
       1.659924930725e-05       2.683409437804e-01 
       2.089721676961e-05       3.351013548988e-01 
       2.630803722703e-05       4.184706297288e-01 
       3.311985659953e-05       5.225803531005e-01 
       4.169542910813e-05       6.525894687674e-01 
       5.249143525989e-05       8.149393326296e-01 
       6.608280175022e-05       1.017671707382e+00 
       8.319331840591e-05       1.270824827522e+00 
       1.047341826327e-04       1.586925946142e+00 
       1.318525239998e-04       1.981602343338e+00 
       1.659924930725e-04       2.474336347169e+00 
       2.089721676961e-04       3.089392339465e+00 
       2.630803722703e-04       3.856943258327e+00 
       3.311985659953e-04       4.814416244752e+00 
       4.169542910813e-04       6.008053912168e+00 
       5.249143525989e-04       7.494633559408e+00 
       6.608280175022e-04       9.343174529617e+00 
       8.319331840591e-04       1.163625051692e+01 
       1.047341826327e-03       1.447015443228e+01 
       1.318525239998e-03       1.795261248878e+01 
       1.659924930725e-03       2.219555373535e+01 
       2.089721676961e-03       2.730349917712e+01 
       2.630803722703e-03       3.335278651355e+01 
       3.311985659953e-03       4.036908839509e+01 
       4.169542910813e-03       4.830514867967e+01 
       5.249143525989e-03       5.700721111446e+01 
       6.608280175022e-03       6.615013659830e+01 
       8.319331840591e-03       7.517363136794e+01 
       1.047341826327e-02       8.323323393358e+01 
       1.318525239998e-02       8.916173056596e+01 
       1.659924930723e-02       9.152553849209e+01 
       2.089721661134e-02       8.891048164063e+01 
       2.630791517276e-02       8.064659753615e+01 
       3.310278266809e-02       6.798175075597e+01 
       4.112178767827e-02       5.525700415800e+01 
       4.790628827187e-02       4.793711661704e+01 
       5.282242665316e-02       4.434326720248e+01 
       5.687266276783e-02       4.210493782859e+01 
       6.048713924457e-02       4.041674199278e+01 
       6.385726918489e-02       3.894231980779e+01 
       6.708422356808e-02       3.751254344529e+01 
