# Matter power spectrum P(k) at redshift z=15
# for k=1.04734e-05 to 104.842 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826327e-05       2.980874950108e-01 
       1.318525239998e-05       3.722488935212e-01 
       1.659924930725e-05       4.648607544577e-01 
       2.089721676961e-05       5.805131165608e-01 
       2.630803722703e-05       7.249377194918e-01 
       3.311985659953e-05       9.052917750703e-01 
       4.169542910813e-05       1.130512090743e+00 
       5.249143525989e-05       1.411756776325e+00 
       6.608280175022e-05       1.762955837514e+00 
       8.319331840591e-05       2.201496739188e+00 
       1.047341826327e-04       2.749076560353e+00 
       1.318525239998e-04       3.432758307863e+00 
       1.659924930725e-04       4.286274573622e+00 
       2.089721676961e-04       5.351625014678e+00 
       2.630803722703e-04       6.681011388871e+00 
       3.311985659953e-04       8.339136776051e+00 
       4.169542910813e-04       1.040584916811e+01 
       5.249143525989e-04       1.297900520846e+01 
       6.608280175022e-04       1.617722043913e+01 
       8.319331840591e-04       2.014178867664e+01 
       1.047341826327e-03       2.503642820954e+01 
       1.318525239998e-03       3.104268492037e+01 
       1.659924930725e-03       3.834718119713e+01 
       2.089721676961e-03       4.712302000664e+01 
       2.630803722703e-03       5.749893942830e+01 
       3.311985659953e-03       6.952743891608e+01 
       4.169542910813e-03       8.314285458109e+01 
       5.249143525989e-03       9.808247507699e+01 
       6.608280175022e-03       1.137801124846e+02 
       8.319331840591e-03       1.292773893347e+02 
       1.047341826327e-02       1.431199890204e+02 
       1.318525239998e-02       1.533020170800e+02 
       1.659924930723e-02       1.573579772465e+02 
       2.089721661134e-02       1.528576749009e+02 
       2.630791517276e-02       1.386452556833e+02 
       3.310278266809e-02       1.168700548505e+02 
       4.112178767827e-02       9.499348310356e+01 
       4.790628827187e-02       8.240944413569e+01 
       5.282242665316e-02       7.623116194769e+01 
       5.687266276783e-02       7.238322433797e+01 
       6.048713924457e-02       6.948103456762e+01 
       6.385726918489e-02       6.694633845276e+01 
       6.708422356808e-02       6.448838295217e+01 
       7.022860457073e-02       6.195177071714e+01 
       7.333018959121e-02       5.926192828870e+01 
       7.641699559472e-02       5.639995034910e+01 
       7.950991500399e-02       5.338910106401e+01 
       8.262529000619e-02       5.028380642977e+01 
       8.577643711244e-02       4.715996174369e+01 
       8.897459779322e-02       4.410409861544e+01 
       9.222955666873e-02       4.120333579588e+01 
       9.555005766263e-02       3.853544802449e+01 
       9.894409227649e-02       3.616061392484e+01 
       1.024191040350e-01       3.411497433325e+01 
       1.059821362671e-01       3.240686279435e+01 
       1.096399405354e-01       3.101542758141e+01 
       1.133990570790e-01       2.989097641887e+01 
       1.172658749381e-01       2.895878535803e+01 
       1.212466770802e-01       2.812543539707e+01 
       1.253476743186e-01       2.728961579206e+01 
       1.295750308151e-01       2.635830743241e+01 
       1.339348832883e-01       2.526444044757e+01 
       1.384333556066e-01       2.398312553366e+01 
       1.430765701517e-01       2.253974739649e+01 
       1.478706571406e-01       2.100574464588e+01 
       1.528217629719e-01       1.948171078984e+01 
       1.579360585786e-01       1.807305664992e+01 
       1.632197487229e-01       1.686288450407e+01 
       1.686790831333e-01       1.589103647302e+01 
       1.743203703677e-01       1.514533163654e+01 
       1.801499952706e-01       1.456260320160e+01 
       1.861744408854e-01       1.405035750240e+01 
       1.924003156778e-01       1.350445837459e+01 
       1.988343869272e-01       1.284495437729e+01 
       2.054836211617e-01       1.205799053668e+01 
       2.123552325376e-01       1.119939470529e+01 
       2.194567401293e-01       1.036118196449e+01 
       2.267960351874e-01       9.625474110150e+00 
       2.343814595750e-01       9.035128622034e+00 
       2.422218968067e-01       8.579193154254e+00 
       2.503268774207e-01       8.194050631720e+00 
       2.587067008345e-01       7.799187226987e+00 
       2.673725763996e-01       7.346354200215e+00 
       2.763367871246e-01       6.842345556700e+00 
       2.856128805324e-01       6.341440213404e+00 
       2.952158924401e-01       5.905167785243e+00 
       3.051626111926e-01       5.551632449158e+00 
       3.154718922142e-01       5.250193840648e+00 
       3.261650358618e-01       4.952273934921e+00 
       3.372662458041e-01       4.629561512520e+00 
       3.488031909613e-01       4.299570793639e+00 
       3.608077021259e-01       3.997177855206e+00 
       3.733166457820e-01       3.738723627411e+00 
       3.863730339853e-01       3.504435671065e+00 
       4.000274529770e-01       3.269223374262e+00 
       4.143399285777e-01       3.031679758195e+00 
       4.293823999925e-01       2.809692598822e+00 
       4.452420566752e-01       2.609520782425e+00 
       4.620259246723e-01       2.420340804703e+00 
       4.798673037815e-01       2.232628661175e+00 
       4.989350181070e-01       2.053371605254e+00 
       5.194470707518e-01       1.887095649676e+00 
       5.416914282095e-01       1.725373378140e+00 
       5.660588009222e-01       1.568549010909e+00 
       5.930965292474e-01       1.418640512274e+00 
       6.236015761098e-01       1.271534956446e+00 
       6.587904759309e-01       1.127577867026e+00 
       7.006315492567e-01       9.841647086975e-01 
       7.525461085526e-01       8.395568439720e-01 
       8.210079805222e-01       6.905671226382e-01 
       9.193237378563e-01       5.343350972189e-01 
       1.074684017807e+00       3.732490985439e-01 
       1.322179872275e+00       2.300205417524e-01 
       1.661679345586e+00       1.336022922377e-01 
       2.091875610101e+00       7.659109907005e-02 
       2.633515157138e+00       4.354441390770e-02 
       3.315399153555e+00       2.457247474051e-02 
       4.173840244652e+00       1.377262912959e-02 
       5.254553548761e+00       7.671982826939e-03 
       6.615090990169e+00       4.249552953610e-03 
       8.327906148854e+00       2.341730225968e-03 
       1.048421267783e+01       1.284305525582e-03 
       1.319884176277e+01       7.012904514999e-04 
       1.661635730141e+01       3.813864924161e-04 
       2.091875445819e+01       2.066289954328e-04 
       2.633515157050e+01       1.115531215128e-04 
