# Matter power spectrum P(k) at redshift z=10
# for k=1.04734e-05 to 104.842 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826327e-05       6.340512852408e-01 
       1.318525239998e-05       7.917972691495e-01 
       1.659924930725e-05       9.887884579516e-01 
       2.089721676961e-05       1.234788052869e+00 
       2.630803722703e-05       1.541987605424e+00 
       3.311985659953e-05       1.925610517051e+00 
       4.169542910813e-05       2.404665051195e+00 
       5.249143525989e-05       3.002883464058e+00 
       6.608280175022e-05       3.749892267542e+00 
       8.319331840591e-05       4.682668781353e+00 
       1.047341826327e-04       5.847350373337e+00 
       1.318525239998e-04       7.301474723411e+00 
       1.659924930725e-04       9.116739817931e+00 
       2.089721676961e-04       1.138237655344e+01 
       2.630803722703e-04       1.420921542278e+01 
       3.311985659953e-04       1.773448243625e+01 
       4.169542910813e-04       2.212724351307e+01 
       5.249143525989e-04       2.759416844836e+01 
       6.608280175022e-04       3.438481107353e+01 
       8.319331840591e-04       4.279478903173e+01 
       1.047341826327e-03       5.316406924116e+01 
       1.318525239998e-03       6.586638069974e+01 
       1.659924930725e-03       8.128363572791e+01 
       2.089721676961e-03       9.977360341063e+01 
       2.630803722703e-03       1.216171392900e+02 
       3.311985659953e-03       1.469520588272e+02 
       4.169542910813e-03       1.756522301381e+02 
       5.249143525989e-03       2.071490339259e+02 
       6.608280175022e-03       2.402528798654e+02 
       8.319331840591e-03       2.729387599565e+02 
       1.047341826327e-02       3.021375870440e+02 
       1.318525239998e-02       3.236142674982e+02 
       1.659924930723e-02       3.321682704579e+02 
       2.089721661134e-02       3.226541306298e+02 
       2.630791517276e-02       2.926488681260e+02 
       3.310278266809e-02       2.466834533187e+02 
       4.112178767827e-02       2.005062183689e+02 
       4.790628827187e-02       1.739442873392e+02 
       5.282242665316e-02       1.609035348694e+02 
       5.687266276783e-02       1.527815803972e+02 
       6.048713924457e-02       1.466558537532e+02 
       6.385726918489e-02       1.413057966076e+02 
       6.708422356808e-02       1.361177030349e+02 
       7.022860457073e-02       1.307635717684e+02 
       7.333018959121e-02       1.250860003632e+02 
       7.641699559472e-02       1.190450876023e+02 
       7.950991500399e-02       1.126899418808e+02 
       8.262529000619e-02       1.061354455013e+02 
       8.577643711244e-02       9.954179780928e+01 
       8.897459779322e-02       9.309164805574e+01 
       9.222955666873e-02       8.696888460296e+01 
       9.555005766263e-02       8.133767180967e+01 
       9.894409227649e-02       7.632503161489e+01 
       1.024191040350e-01       7.200724704894e+01 
       1.059821362671e-01       6.840190574422e+01 
       1.096399405354e-01       6.546499225010e+01 
       1.133990570790e-01       6.309161559984e+01 
       1.172658749381e-01       6.112404908611e+01 
       1.212466770802e-01       5.936510535929e+01 
       1.253476743186e-01       5.760094010591e+01 
       1.295750308151e-01       5.563521167215e+01 
       1.339348832883e-01       5.332635261074e+01 
       1.384333556066e-01       5.062182994089e+01 
       1.430765701517e-01       4.757522821610e+01 
       1.478706571406e-01       4.433734100936e+01 
       1.528217629719e-01       4.112049994440e+01 
       1.579360585786e-01       3.814718620711e+01 
       1.632197487229e-01       3.559285891950e+01 
       1.686790831333e-01       3.354154774957e+01 
       1.743203703677e-01       3.196760170407e+01 
       1.801499952706e-01       3.073762607160e+01 
       1.861744408854e-01       2.965644729729e+01 
       1.924003156778e-01       2.850421222182e+01 
       1.988343869272e-01       2.711217787370e+01 
       2.054836211617e-01       2.545109422959e+01 
       2.123552325376e-01       2.363883195690e+01 
       2.194567401293e-01       2.186957546453e+01 
       2.267960351874e-01       2.031670560430e+01 
       2.343814595750e-01       1.907065219777e+01 
       2.422218968067e-01       1.810830559532e+01 
       2.503268774207e-01       1.729538312541e+01 
       2.587067008345e-01       1.646193081379e+01 
       2.673725763996e-01       1.550612505742e+01 
       2.763367871246e-01       1.444230296287e+01 
       2.856128805324e-01       1.338502547971e+01 
       2.952158924401e-01       1.246417394636e+01 
       3.051626111926e-01       1.171796088218e+01 
       3.154718922142e-01       1.108171018257e+01 
       3.261650358618e-01       1.045288462178e+01 
       3.372662458041e-01       9.771726418604e+00 
       3.488031909613e-01       9.075205186737e+00 
       3.608077021259e-01       8.436936652673e+00 
       3.733166457820e-01       7.891412108818e+00 
       3.863730339853e-01       7.396895855509e+00 
       4.000274529770e-01       6.900427485698e+00 
       4.143399285777e-01       6.399037819819e+00 
       4.293823999925e-01       5.930484108703e+00 
       4.452420566752e-01       5.507977018498e+00 
       4.620259246723e-01       5.108670522345e+00 
       4.798673037815e-01       4.712461832836e+00 
       4.989350181070e-01       4.334099615386e+00 
       5.194470707518e-01       3.983137173939e+00 
       5.416914282095e-01       3.641786097687e+00 
       5.660588009222e-01       3.310773158179e+00 
       5.930965292474e-01       2.994357790077e+00 
       6.236015761098e-01       2.683858592423e+00 
       6.587904759309e-01       2.380004986033e+00 
       7.006315492567e-01       2.077299441782e+00 
       7.525461085526e-01       1.772072220232e+00 
       8.210079805222e-01       1.457596113476e+00 
       9.193237378563e-01       1.127833511230e+00 
       1.074684017807e+00       7.878255201408e-01 
       1.322179872275e+00       4.855096586960e-01 
       1.661679345586e+00       2.819974129322e-01 
       2.091875610101e+00       1.616625637721e-01 
       2.633515157138e+00       9.191016121977e-02 
       3.315399153555e+00       5.186565297926e-02 
       4.173840244652e+00       2.907017253490e-02 
       5.254553548761e+00       1.619340100120e-02 
       6.615090990169e+00       8.969602729960e-03 
       8.327906148854e+00       4.942720550569e-03 
       1.048421267783e+01       2.710792856365e-03 
       1.319884176277e+01       1.480212219614e-03 
       1.661635730141e+01       8.049859907461e-04 
       2.091875445819e+01       4.361234711150e-04 
       2.633515157050e+01       2.354465281418e-04 
       3.315399153555e+01       1.266765995885e-04 
       4.173840244652e+01       6.793399928484e-05 
       5.254553548761e+01       3.631351985598e-05 
       6.615090990169e+01       1.934632748608e-05 
       8.327906148854e+01       1.026981435239e-05 
       1.048421267783e+02       5.429158910356e-06 
