# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 104.842 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826327e-05       4.811028024802e+01 
       1.318525239998e-05       6.007961807422e+01 
       1.659924930725e-05       7.502674249877e+01 
       2.089721676961e-05       9.369240896285e+01 
       2.630803722703e-05       1.170015566408e+02 
       3.311985659953e-05       1.461091013127e+02 
       4.169542910813e-05       1.824569210038e+02 
       5.249143525989e-05       2.278449383064e+02 
       6.608280175022e-05       2.845194904457e+02 
       8.319331840591e-05       3.552830963335e+02 
       1.047341826327e-04       4.436301844532e+02 
       1.318525239998e-04       5.539140992352e+02 
       1.659924930725e-04       6.915508303891e+02 
       2.089721676961e-04       8.632641954621e+02 
       2.630803722703e-04       1.077374876817e+03 
       3.311985659953e-04       1.344130578561e+03 
       4.169542910813e-04       1.676065793930e+03 
       5.249143525989e-04       2.088367909312e+03 
       6.608280175022e-04       2.599213187720e+03 
       8.319331840591e-04       3.230014499659e+03 
       1.047341826327e-03       4.005450874781e+03 
       1.318525239998e-03       4.952988870131e+03 
       1.659924930725e-03       6.101367396341e+03 
       2.089721676961e-03       7.478444336288e+03 
       2.630803722703e-03       9.106644754756e+03 
       3.311985659953e-03       1.099670053520e+04 
       4.169542910813e-03       1.313867602162e+04 
       5.249143525989e-03       1.549006041431e+04 
       6.608280175022e-03       1.796199810824e+04 
       8.319331840591e-03       2.040353051384e+04 
       1.047341826327e-02       2.258442867958e+04 
       1.318525239998e-02       2.418851106924e+04 
       1.659924930723e-02       2.482674448280e+04 
       2.089721661134e-02       2.411437451608e+04 
       2.630791517276e-02       2.187188083986e+04 
       3.310278266809e-02       1.843647438831e+04 
       4.112178767827e-02       1.498528455727e+04 
       4.790628827187e-02       1.299983414780e+04 
       5.282242665316e-02       1.202518561700e+04 
       5.687266276783e-02       1.141824544751e+04 
       6.048713924457e-02       1.096072029427e+04 
       6.385726918489e-02       1.056050115986e+04 
       6.708422356808e-02       1.017318085892e+04 
       7.022860457073e-02       9.772615204630e+03 
       7.333018959121e-02       9.348594374686e+03 
       7.641699559472e-02       8.897164792066e+03 
       7.950991500399e-02       8.421816548978e+03 
       8.262529000619e-02       7.931908814515e+03 
       8.577643711244e-02       7.439258514171e+03 
       8.897459779322e-02       6.957174465768e+03 
       9.222955666873e-02       6.499772407879e+03 
       9.555005766263e-02       6.078759858973e+03 
       9.894409227649e-02       5.704193856196e+03 
       1.024191040350e-01       5.381514051855e+03 
       1.059821362671e-01       5.112086531302e+03 
       1.096399405354e-01       4.892659684221e+03 
       1.133990570790e-01       4.715154509653e+03 
       1.172658749381e-01       4.568189732420e+03 
       1.212466770802e-01       4.436808400436e+03 
       1.253476743186e-01       4.304848463231e+03 
       1.295750308151e-01       4.157822503154e+03 
       1.339348832883e-01       3.985326419516e+03 
       1.384333556066e-01       3.783360338470e+03 
       1.430765701517e-01       3.555480628480e+03 
       1.478706571406e-01       3.313679806879e+03 
       1.528217629719e-01       3.073135935163e+03 
       1.579360585786e-01       2.850940926742e+03 
